text,page_number
"Reaching almost 500 participants, the pilot survey con-
sisted of a series of questions to supervisors and work-
ers regarding topics such as trust and wage fairness 
but also issues such as room temperature, noise level, 
canteen services, and toilet conditions. Both parties 
were also asked about how safe they feel at work in 
terms of harassment and discrimination and how any 
",40
"IT STARTS
WITH 
 LISTENING:
HOW WE EMPOWER WORKERS 
IN OUR SUPPLY CHAIN.
",40
"W E  E M P O W E R  P E O P L E
 complaints or suggestions they brought forward were handled. 
After the results were analysed for each factory, our partner 
conducted focus group discussions and interviews in order to 
gain an even deeper understanding of the results and provided 
group training content and materials. 
",40
"Based on the overall positive learnings, the project will be 
rolled out to more than 80 factories in Asia and region EMEA 
in 2017, given they have received a minimum C-KPI score of 
4C. This will help us to establish a baseline and understanding 
of workers workplace life as well as assist us in determining 
suitable follow-up approaches for possible improvements. At 
the same time it enables us to better address the challenges 
arising from, for example, different languages and cultures. 
",41
"Vietnam: training those who supervise 
Continuously improving conditions for our workers also 
involves training those who are in turn training and supervis-
ing the workforce. With this in mind, another pilot project took 
place in Vietnam. In order to create a stable and conducive 
 working environment, supervisors from seven strate-
gic suppliers received specialised training that would 
enhance their skills on how to effectively communi-
cate with the workforce, to gain their trust and coop-
eration as well as understand what motivates them. 
In collaboration with a service provider based in Viet-
nam, the trainings were conducted over a period of 
four months in 2016 with a total of 25 local supervisors 
who directly manage production-related workers. In a 
series of workshops, they learned about management 
skills and techniques to empower, persuade and influ-
ence people in the workplace, especially during a cri-
sis situation. Following this encouraging pilot project, 
the training will be rolled out to other strategic sup-
pliers in Vietnam with the potential to include China 
and Indonesia in 2017. 
",41
"These are just two examples of our efforts to improve 
worker empowerment in our supply chain. They are com-
plemented by, for example, our Worker Hotline project, 
an innovative grievance mechanism run by an inde-
pendent service provider in four of our major sourcing 
countries. It offers almost 300,000 factory workers the 
opportunity to anonymously ask questions, make suggestions 
or express their concerns via text message. We also run a pro-
gramme in Pakistan to improve womens knowledge and skills 
and help them to have better opportunities in the workplace.  
",41
"This serves as an overview of our continuous quest to under-
stand our workers needs through listening (bottom-up sur-
vey) and training management (communication skills) to 
ensure that they have the necessary skills to manage and 
motivate their staff in the best possible way. Both approaches 
together ensure a stable and beneficial working environment 
as well as safe and fair working conditions in the long run, 
thus supporting our overall business goals of sustainable 
relationships with suppliers and their workforce.
",41
"We firmly believe that a 
workforce consisting of 
individuals with differ-
ent strengths, interests, 
ideas, and cultural back-
grounds is a prerequisite 
for success. For this reason 
Diversity and Inclusion is 
among our core values and 
an essential part of our 
People Strategy. We aim 
to provide an environment 
in which people with fresh 
and diverse perspectives 
have every possibility they 
need to make a difference. 
But diversity can only be a 
powerful driver for innovation and engagement if it is 
embedded in an open and inclusive company culture. 
",42
"Our actions speak louder than any strategy and this 
is why we proactively pursue a portfolio of internal as 
well as external activities and memberships. Exam-
ples include the Diversity Charter, Prout at Work, 
the Diversity and Inclusion in Asia Network, and the 
non-profit organisation Catalyst. Internally, our three 
employee-led networks  LGBT (lesbian, gay, bisex-
ual and transgender), Women, and Generations  are 
powerful catalysts. In addition to regular events high-
lighting diversity as a key topic, such as our annual 
Diversity Day which is celebrated across the world, 
we participate in benchmarking studies to review our 
activities, provide quarterly reports to management 
for decision making, take part in diversity career fairs, 
and provide diversity and gender intelligence trainings 
to our employees. 
",42
"The latest example is the BIG Deal training pro-
ject (BIG stands for balanced, inclusive, and gender 
 intelligent), a newly designed gender intelligence 
training that provides leaders with data, insights, and 
tools for an inclusive leadership in order to build a bal-
anced organisation. BIG Deal is designed to encourage 
the participants to bring their individual ideas to the 
table while giving them the opportunity to revisit and 
think critically about some of their key thoughts and 
beliefs around diversity, stereotyping, and gender in 
the workplace. The training also addresses male and 
female traits that everybody carries inside and how 
these affect men and women at the workplace. Based 
on its great success in 2016, BIG Deal will be offered 
on a global scale going forward. 
",42
"Our overall efforts in this area continue to receive 
applause: for the second consecutive year, our North 
American organisation achieved a perfect 100 point 
score on the Human Rights Campaign Foundations 
Corporate Equality Index, 
the national benchmarking 
tool on corporate policies 
and practices pertinent to 
LGBT employees.
",42
"Regardless of location, we 
aim to create a business 
environment that empow-
ers our people to bring 
their individual strengths 
to the table while helping 
them to unlock their full 
potential at the workplace 
and beyond.
",42
"BALANCED, 
INCLUSIVE, 
GENDER 
INTELLIGENT: 
CHALLENGING 
COMMON THOUGHTS
",42
"Empower our supply chain 
workers by expanding and 
refining grievance sys-
tems and skill training pro-
grammes. This includes the 
expansion of the Workers 
Hotline to the countries 
where our strategic suppli-
ers are located. 1
",43
"2020
In 2016, we have further advanced existing worker 
empowerment projects. In addition, we have piloted a set 
of new initiatives with the aim to improve workers skills. 
",43
"Access to Workers Hotline to improve worker-management 
communication grew by 10%: in 2016, the access to the 
Workers Hotline continued to grow by 10% compared to 
2015. The service is now available to 290,000 workers 
in 63 strategic supplier factories across four countries 
(Cambodia, Indonesia, Vietnam, and China), offering workers 
the possibility to anonymously ask questions and raise 
concerns. 
Pilot phase of women empowerment programme in 
Pakistan benefitted a total of 150 women: introduced in 2015, 
the pilot phase of this project was successfully completed in 
2016, benefitting 75 on-job workers and 75 redundant women 
workers from Sialkot at one of our strategic suppliers. 
Introduction of supervisory skill training in Vietnam: in 
2016, 25 supervisors from seven strategic suppliers received 
tailored training that enhanced their skills to effectively 
communicate with the workforce. The training will be rolled 
out to other strategic suppliers in Vietnam with the potential 
to include China and Indonesia in 2017. 
Worker satisfaction pilot survey in Indonesia: reaching 
489 participants, the goal of this pilot survey was to gain 
insights into the current workplace environment, identify 
strengths and weaknesses, as well as potential improvement 
opportunities to increase worker satisfaction. The results 
will help us to establish a baseline and determine suitable 
follow-up approaches for possible improvements. The 
project will be rolled out to more than 80 factories in Asia 
and region EMEA in 2017 who have qualified for this with a 
minimum C-KPI score of 4C.
",43
"1 This means ensuring our suppliers workforces at all levels are empowered with access to effective grievance and  feedback channels, supervisory skills and other means to 
support fair, healthy and safe workplace conditions
",43
"We will continue to support 
our suppliers and licensees 
in further improving their 
social and environmental 
compliance performance 
as measured by our C- and 
E-KPI rating tools, as well 
as scorecards.
",44
"  At least 80% of strate-
gic Tier 1 suppliers will 
achieve 4C rating, which 
reflects functioning 
management systems 
and effective worker 
communication and 
grievance channels. In 
addition, at least 10% of 
strategic Tier 1 suppliers 
will achieve the highest 
possible rating of social 
compliance performance 
(5C), which reflects high-
est performance that 
is supported by active 
worker engagement.
",44
"2020
By the end of 2016, half of our suppliers received a 3C 
rating, while 17% were awarded with a 4C or above rating. 
Compared to 2015 we saw a slight decline in the number 
of high-performing suppliers, which was the result of the 
implementation of a more consistent application of our rigid 
audit process. 
 see page 70 for details
",44
"  10% of strategic Tier 1 
suppliers will achieve 
the highest possible 
rating for environmen-
tal compliance perfor-
mance (5E) in each of 
the defined reduction 
targets (water, waste, 
energy).
",44
"2020
In 2016, we made significant changes to the way we monitor 
the environmental performance of our strategic suppliers by 
introducing the enhanced eKPI 2.0 tool. The performance-
driven tool that allows for greater transparency regarding 
our suppliers actual consumption of water, waste and 
energy. 
 see page 71 for details
",44
"  At least 80% of strategic 
licensees achieve top-
tier level, which means 
they operate mecha-
nisms to monitor their 
own supply chain aligned 
with SEA standards, and 
support their suppliers 
to continuously improve 
workplace conditions. 
In addition, 10% of stra-
tegic licensees operate 
sustainability manage-
ment systems, moni-
tor their supply chain 
effectively, reduce social 
and environmental foot-
prints, and transparently 
report on performance.
",45
"2020
In 2016, 50% of strategic licensees achieved top-tier level 
as measured through a scorecard. While we achieved the 
2016 target, we realised that achieving it for 2017 and the 
coming years will be quite challenging. Although there 
are benefits of becoming a self-governing licensee, many 
licensees still prefer to continue following our external 
monitoring programme instead of being enrolled into our 
self-governance programme, due to workload. 
",45
"Foster cross-functional 
and cross-cultural careers 
and experiences for our 
employees. This will en- 
able them to gain fresh 
perspectives and grow pro-
fessionally and personally.
",45
"2020
Enabled by a new global mobility policy, our Talent Carousel 
career develop ment programme entered its second year in 
2016. Employees from all over the world were again invited to 
apply for this programme that would see its 20 finalists take 
a cross-functional and international career step by start-
ing a new role in a new location in 2017. Successful candi-
dates remain in the programme for 24 months with the right 
to return to their home location while being prepared for a 
future senior management position.
",45
"Champion diversity  
regardless of gender, 
nationality,  ethnic origin, 
religion, world view, age, 
sexual orientation or gen-
der identity
",45
"2020
In 2016, we introduced a global data simulation tool that 
allows HR managers to calculate and set more realistic 
gender and age targets for their functional areas by taking 
criteria such as business growth, attrition, promotions, 
and hirings into consideration. We successfully hired a 
dedicated Diversity Director who is in charge of driving 
our global diversity strategy. In addition to regular events 
highlighting diversity as a key topic, we provide diversity 
and gender intelligence trainings to our employees. In 2016, 
we piloted the BIG Deal training project (BIG stands for 
balanced, inclusive, and gender intelligent), a newly designed 
gender intelligence training that provides leaders with data, 
insights, and tools for an inclusive leadership in order to 
build a balanced organisation. BIG Deal will be offered on 
a global scale going forward. For the second consecutive 
year, our North American organisation achieved a perfect 
100 point score on the Human Rights Campaign Foundations 
Corporate Equality Index in 2016. In addition, we ranked 
second in the Apparel sector in the newly launched Corporate 
Human Rights Benchmark (CHRB). 
 see page 42 for details
",45
"SPORT IS THE KEY TO AN INDIVIDUALS HEALTH 
AND HAPPINESS. OUR AIM IS TO ENABLE PEO-
PLE AROUND THE WORLD TO PARTICIPATE 
IN SPORTS, WHILE EDUCATING THEM ON 
PHYSICAL AND MENTAL HEALTH, FITNESS, 
AND NUTRITION. THIS WILL ULTIMATELY  
ALLOW THEM TO LEAD A HEALTHIER AND 
MORE FULFILLED LIFESTYLE. 
",46
"JOB
DIRECTOR,  
CORPORATE 
AFFAIRS,CHINA
AT  ADIDAS
",47
"Bringing football to all 
school kids nationwide! The 
far-reaching significance of 
this program is that we help to 
create the greatest impact on 
the development of football in 
China. Partnering with Chinas 
 top education governing body 
allows us to reach the maximum 
number of school children 
nationwide for their benefit.
",47
"Sport is our DNA, our 
foundation, our heart. 
Sport is also the key 
to an individuals 
health and happiness. 
We strive to enable 
people around the 
world to participate 
in sports, while edu-
cating them on physi-
cal and mental health, 
fitness, and nutrition 
to allow them to lead 
a healthier life.
",49
"In order to follow and 
achieve this rather 
ambitious goal, we 
reach out to kids 
around the world to 
be more active, and 
strive to give them access to the necessary tools and athletic 
opportunities. As part of this approach, we announced a 3-year 
partnership with Chinas Ministry of Education (MoE) in Sep-
tember 2015 to promote grassroots football in China and nur-
ture football talent based on our shared vision of accelerating 
football development. The partnership focuses on supporting 
Chinas physical education (PE) classes, teacher trainings, and 
student training camps through our curriculum, ambassadors, 
and products overall helping children to get more active and 
learn that they can benefit from sports throughout their lives. 
In the end, we aim to reach 22 million students in China. 
",49
"The partnership has seen first results with the introduction of 
the  adidas curriculum learning app. Free of charge and based 
upon proven methods developed by  adidas renowned interna-
tional football trainer, Tom Byer, the app shows Chinese students 
 key football techniques such as start-
ing, stopping, changing directions, cut-
ting, and turning by watching the videos 
in slow motion and with 3D functions. 
The first of its kind in China, the foot-
ball app can also be incorporated into 
PE classes, serving as a training and 
development tool to make sports more 
inclusive. The overall goal is to reach 
20,000 primary and middle schools 
by 2017. Our progress in 2016 already 
shows we are well on track: within the 
first year of signing the agreement, we 
have already reached 7.6 million stu-
dents in 7,600 schools and more than 
13,000 PE teachers nationwide.
",49
"The partnership is not just limited to 
the app.  adidas winter and summer 
camp initiatives featuring curriculum 
offerings, coaching, and product sup-
port has reached roughly an additional 1,760 of Chinas most 
promising students so far. Our support also extends to the 
MoEs New Long March of School Football programme. This 
new 365-episode TV series, set to reach eight million viewers 
daily across China, features Tom Byer teaching various tech-
nical moves from the  adidas curriculum. And finally, we also 
hosted a number of MoE activations for which we invited our 
strong football assets from Ajax Amsterdam and Manchester 
United as well as football icon David Beckham to coach kids 
in special training classes. 
",49
"With sport being our DNA, our foundation, and our heart, 
this partnership brings the benefits of sport to children 
and teachers all over China and follows our goal of inspir-
ing everybody to find their individual path to a healthy and 
happy life through sport.
",49
" 
OUR PROGRESS  
SHOWS WE ARE WELL  
 
ON TRACK: WE HAVE  
ALREADY REACHED  
7.6 MILLION  
STUDENTS IN  
7,600 SCHOOLS AND  
 
MORE THAN 13,000  
TEACHERS NATIONWIDE.
",49
"When your core belief is that through sport you have 
the power to change lives, you cannot just talk the talk, 
you also have to walk the walk. For years, we have been 
working on a holistic approach at our offices around 
the world to not only ensure that sport is an integral 
part of our employees lives but also raise awareness 
for the fact that health goes beyond sports activities.
",50
"We are proud to have been recognised as a global 
leader in sport and nutrition with the Corporate Health 
Award  Special Award for Healthy Nutrition in 2016, 
the most prestigious German award in the field of 
occupational health management. Doing what we do, 
sport is an integral part of our daily work routine. Col-
leagues playing beach volleyball, working out in the 
gym or hitting balls on the tennis court is a common 
practice at our headquarters in Germany. However, our 
health management goes beyond mere sport activities. 
",50
"Over the past couple of years, we have successfully 
created a holistic approach in cooperation with 
experts on health and nutrition to provide a healthy 
environment for our employees. While our partners 
from the occupational health & safety service B.A.D. 
support our employees with their health questions 
and offer social counselling as well as an Integration 
Management Programme, we also work closely with 
our caterer and Holger Stromberg (nutritionist to the 
German Football Federation) to not only offer a wide 
variety of wholesome meals but also nutrition seminars 
and workshops to raise awareness and educate.
 
Nutrition is also an important part of our partner-
ship with EXOS, a human performance company, who, 
together with our coaches, nutritionist, and reception 
staff at our headquarters gym support our people to 
live healthy lives. Based on the latest scientific knowl-
edge about nutrition and physiological needs after 
workout, the experts support our employees to take 
action and guide them towards a healthier diet with 
individual meal plans or education classes.
",50
"Raising awareness about health extends beyond 
our headquarters to our locations in Scheinfeld 
and Uffenheim where our health management 
 team developed a broad offer for our employees in 
cooperation with a large health insurance company 
and our partners from B.A.D. In October 2016, they 
organised Health Days, a four-day event where more 
than 350 employees used the opportunity to book 
appointments for medical measures (i.e. vaccines) 
and get information about a healthy diet as well as 
ergonomic workplace routines. 
",50
"Taking care of our employees is not limited to nutrition 
and sports. We also want to make sure that our people 
are able to balance their business and private lives. 
Truth is that a global company like ours attracts people 
from all over the world and from various stages of life. 
Right now, five different generations are part of the 
workforce, with the global average age being 30. In 
addition, people from more than 80 nations work at 
the  adidas headquarters in Herzogenaurach, Germany. 
Each and every one of them deserves a workplace 
where they feel comfortable and where they are able 
and willing to perform at their best. For this reason, 
we have the Work-Life Integration department. The 
teams focus is on creating a work environment which 
supports the fit of work and life in different life cycles 
and implementing respective concepts.
",50
"One of the 2016 additions to the portfolio is the 
employee assistance programme. It enables our 
employees in Germany to contact an external service 
provider to get professional support and advice related 
to child care, elder and dependent care as well as 
household services. Examples include finding an au 
pair, cleaner, gardener, etc., or obtaining tax advice. 
The programme is a response to the growing demand 
for a better work-life balance and has already been 
used by over 400 employees. In 2017, the focus will be 
on organising information sessions with the service 
provider around care and precaution for emergencies.
We will continue to walk the walk towards a healthy 
company with and for our employees in 2017 and 
beyond.
",50
"WHEN PHYSICAL 
FITNESS IS JUST  
THE BEGINNING:  
HOW 
WE FUEL OUR EMPLOYEES HEALTH
",50
"Introduce education and 
upskilling measures 
on health and work-life 
balance topics for our 
employees.
",51
"2020
One of the 2016 additions to the portfolio of the Work-Life 
Integration team is the employee assistance programme. 
Enabling our employees in Germany to contact an external 
service provider to get professional support and advice 
related to child care, elder and dependent care as well 
as household services, the programme is a response to 
the growing demand for a better work-life balance. The 
service has already been used by over 400 employees. In 
2017, the focus will be on organising information sessions 
with the service provider around care and precaution for 
emergencies. 
 see page 50 for details
",51
"Develop a global Health 
Management strategy for 
our employees. This strat-
egy is based on the strong 
foundation we already have 
at our offices in Herzogen-
aurach, Portland, and 
Canton.
",51
"2020
In 2016, we were awarded the Corporate Health 
Award  Special Award for Healthy Nutrition. Our partner 
EXOS, a human performance company, supports our 
people to live healthy lives together with our coaches, 
nutritionist, and reception staff at our headquarters gym. 
At our locations in Scheinfeld and Uffenheim, Germany, 
we developed a broad offer for our employees, including 
the organisation of Health Days in 2016. 
 see page 50 for details
",51
"Utilise sport as a tool to 
teach values and boost 
young peoples academic 
and physical performance. 
In addition, this tool will 
add to their overall con-
fidence and well-being. 
Through the BOKS pro-
gramme, we will refine 
and perfect the collec-
tive impact model with our 
other partners, including 
those from the healthcare 
industry, to provide a solu-
tion to the physical inactiv-
ity epidemic. We also aim 
to increase the number of 
enrolled BOKS schools by 
50% in our target areas. 
",52
"2020
By the end of 2016, we increased the number of BOKS 
schools by 47% from over 1,500 to 2,200 reaching our 
goal in our target areas. In addition, we have developed 
additional partners in the healthcare space and created 
many different opportunities for employees to engage 
in our programme  including Raise Funds for BOKS, 
Volunteer at an existing BOKS school, and Bring BOKS 
to our community. Read more on our website.
",52
"Nurture football talent by 
promoting grassroots foot-
ball in China: by the end of 
2018, we aim to reach 22 
million students as a result 
of our joint efforts with 
 Chinas Ministry of Educa-
tion (MoE).
",52
"2018
In 2015, we announced a 3-year partnership with Chinas 
Ministry of Education (MoE) to nurture football talent based 
on our shared vision of accelerating football development. 
Our progress in 2016 already shows we are well on track: 
within the first year of signing the agreement, we have 
already reached 7.6 million students in 7,600 schools and 
more than 13,000 PE teachers nationwide. 
 see page 48 for details
",52
"WE WORK HARD EVERY DAY TO INSPIRE AND 
ENABLE PEOPLE TO HARNESS THE POWER  
OF SPORT IN THEIR LIVES. LIKEWISE, WE WANT 
TO KEEP DRIVING CHANGE IN OUR INDUS-
TRY BY LEADING BY EXAMPLE. 
",53
"JOB
DIRECTOR SOCIAL 
AND ENVIRONMENTAL 
AFFAIRS,TURKEY 
AT  ADIDAS
",54
"Our work reaches far beyond 
social compliance in the supply 
chain to include support not 
only for the legal recruitment 
and employment of the Syrian 
refugees in Turkey but also 
their integration to their 
new location. I am proud that 
my team is able to lead by 
example.
",54
"JOB
MANAGER EMPLOYEE 
INTEGRATION,GERMANY
HEADQUARTERS
AT  ADIDAS
",54
"Every day I put my energy into 
creating a great employment 
experience for refugees as they 
start their career journey in 
Germany. Identifying opportunities 
that fit their talents and helping 
them discover and develop new 
skills is tremendously rewarding.
",54
"Besides the many obvious physical ben-
efits of sport, it also brings one super 
power to the table: it unites across bor-
ders, skin colours, and belief systems. 
It connects, shapes values, and teaches 
important life lessons including team-
work, discipline, and resilience. As a 
global sports company, we believe that 
through sport, we have the power to 
change lives. And we work hard every 
day to inspire people to harness this 
power of sport in their lives and make 
a positive impact on society and our 
planet. 
",55
"An area where this power has become 
particularly visible in 2016 was our sup-
port for refugees. Our approach follows 
a three-pillar model built on humanitar-
ian aid, close collaboration with public 
authorities, external partners and vol-
unteers as well as employee integration. 
This approach is complimented by sup-
port in the countries where we source 
from. 
",55
"In 2016, our focus in Germany was on 
work integration. By joining the Wir 
Zusammen (Us Together) initiative, a 
 platform to coordinate and inspire Ger-
man companies to help refugees in their 
area, we exceeded our target to employ 
30 short-term interns until the end of 
the year by 10%. The overall initiative 
has been a success even leading to long-
term hires: this includes an HR Special-
ist, a sample sewer (temporary for three 
months) and a graphic designer (tempo-
rary for one year). We also found an IT 
as well as three sales assistant appren-
tice candidates, who will start their 
apprenticeships in September 2017. We 
will build on this success in 2017 when 
 we will not only offer internships to 
more than 30 refugees but also provide 
entrance qualifications and additional 
apprenticeships. 
",55
"We continue to utilise sport as a tool for 
integration. Our very own  adidas Fund 
played a crucial part in offering employ-
ees the opportunity to help and support 
refugees. Supported by our intranet plat-
form a-LIVE, the Fund organised local 
events such as running groups and sport 
events for employees to get involved in. 
And they rose to the challenge: in 2016, 
",55
"W E  I N S P I R E  A C T I O N
 our employees in Germany invested 
around 1,300 hours in the integration of 
refugees by not only following the Funds 
invitation but also by bringing their own 
ideas to life. At the same time, we sup-
port our employees efforts to inte-
grate refugees by offering them three 
additional vacation days for their social 
engagement and help bringing our core 
belief to life. 
",55
"Our support reaches beyond the borders 
of Germany. Since the civil war in Syria 
began in 2011, millions of people had 
to leave their homes and flee to neigh-
bouring countries such as Turkey, which 
is also one of our sourcing countries. Due 
to the limited number of suppliers in Tur-
key and our strict enforcement approach 
that stipulates that refugees or migrants 
cannot be offered employment without 
a work permit, we have not identified 
any Syrian refugee in our supply chain in 
Turkey. Nonetheless, we are sensitive to 
the broader humanitarian issue facing 
the Syrian refugees and have engaged 
closely with brands sourcing from Tur-
key, local trade unions, NGOs, and the 
Turkish government on the topic of the 
employment rights of Syrian refugees. 
",56
"For the past two years, our activities 
include training the Turkey-based sup-
pliers on the impact of illegal workers on 
the labour market, how to ensure legal and 
fair recruitment, and employment for the 
refugees. These trainings were conducted 
in collaboration with the United Nations 
High Commissioner for Refugees (UNHCR) 
 and the International Middle East Peace 
Research Centre (IMPR). In addition, we 
supported the Fair Labor Association (FLA) 
with a letter written to the Turkish govern-
ment to legalise the employment of Syr-
ian refugees and provide them with social 
benefits. We have also joined a new cross-
brand collaboration team (BEST  Build-
ing Effective Solutions Together) with the 
aim of addressing issues 
related to the employment 
of  Syrian refugees in the 
area and other supply chain 
related issues in region 
EMEA. In order to protect 
the youngest, we make sure 
to distribute leaflets for 
employers reminding them 
of the  adidas Workplace 
Standards and the relevant 
laws and regulations with 
regards to child labour. 
",56
"Our efforts are also directly 
addressing the refugees: 
in collaboration with the 
",56
"Turkish Ministry of Labour (MoL) and the 
FLA, we prepared a booklet to inform Syr-
ian refugees about their critical and basic 
employment rights. Distributed by the 
MoL and through our suppliers, the book-
let provides Syrian refugees with a writ-
ten resource in their native language on 
key articles of Turkish labour law, such as 
minimum wage, working hours, compen-
sation, leave, and other rights and bene-
fits  which has the potential of decreasing 
their exposure to exploitative employ-
ment. We have also established a bilin-
gual worker hotline in Arabic and Turkish 
language for our strategic Tier 2 suppliers 
in collaboration with an external party to 
enable a full-time functioning hotline for 
Syrians in case of employment. 
",56
"We will continue to act on our respon-
sibility as a global sports company by 
 harnessing the power of sport and  leading 
by example to inspire others to do the 
same.
",56
"The FLA applauds  adidas work  
in Turkey to help Syrian refugees find 
decent work and to improve working 
conditions for local and displaced 
workers alike.  adidas was an early 
and active supporter of our advocacy 
efforts with the Turkish Government 
to guarantee legal work permits  
for refugees and has demonstrated  
a strong commitment under enor-
mously challenging circumstances. 
We are grateful for their leadership 
on this issue.
SHARON WAXMAN,  
PRESIDENT FAIR LABOR ASSOCIATION (FLA)
",56
"W E  I N S P I R E  A C T I O N
 but had to earn it by entering a creative Instagram and Weibo 
contest in which we asked people and employees to take a 
pledge and show us how they take action. This call resulted in 
impressive and creative videos, and 50 happy winners of the 
iconic running shoe.
",56
"Two months later, we continued to raise awareness for the 
special cause while celebrating our partnership with Par-
ley for the Oceans at our Olympic Games Creator Base in 
Rio de Janeiro. We invited a group of creators to experi-
ence  adidas x Parley in a special way by attending a Par-
ley workshop. We invited children and mentors from Projeto 
Grael, a local NGO run by the sailing brothers Lars and Tor-
ben Grael, which promotes 
education through sport and 
with which we have partnered 
to run a Parley Ocean School 
initiative in Rio. The Rio de 
Janeiro Parley Ocean School 
circulated between June and 
September 2016 in Niteroi 
and Rio de Janeiro, provid-
ing interactive workshops to 
3,690 kids in over 30 different 
public schools. Children aged 
611 learned about the fragil-
ity of our oceans, plastic pol-
lution, and how to take action 
against it. 
",57
"Through our partnership with Parley 
for the Oceans, we strive to not only 
raise awareness for the state of the 
oceans but more importantly keep 
calling all creators to become part 
of the solution and save our oceans 
in the process. Because we believe 
that we can fight systemic problems 
like ocean destruction a lot better 
together as a team.
",57
"Calling all creators got a whole 
new meaning in 2016. As part of 
our partnership with Parley for 
the Oceans, an environmental 
organisation and collaboration 
network that raises awareness 
of the beauty and fragility of the 
oceans and implements com-
prehensive strategies to end 
their destruction, we called all 
creators around the world to 
make their pledge and join the 
fight to save the oceans.
",57
"In June 2016, in time for World 
Ocean Day, we announced the 
release of a limited number of 
our iconic adidas x Parley run-
ning shoe, the worlds first per-
formance shoe with an upper 
made entirely of yarns and fil-
aments reclaimed and recy-
cled from marine waste and 
illegal deep-sea gill nets. First 
presented in June 2015 within 
the unique surroundings of the 
United Nations Headquarters in 
New York, the shoe came with 
a catch: one could not buy it 
",57
"WORKSHOPS 
FOR
3,690 
KIDS
IN OVER 30
PUBLIC SCHOOLS
IN RIO DE JANEIRO
",57
"Rewarding our employees 
commitment and contri-
butions to our companys 
purpose, strategy, and 
success.
",58
"2020
Our remuneration system is based on The Score, our 
performance management approach bringing target 
setting, employee development, and performance 
appraisal under one common process. Each employee is 
evaluated and receives feedback at least twice a year. As 
part of this system, we are committed to rewarding our 
employees with compensation and benefit programmes 
that are competitive in the marketplace. Remuneration 
throughout the company comprises fixed and variable 
monetary compensation, non-monetary rewards as 
well as other intangible benefits. The cornerstone of our 
rewards programme is our Global Salary Management 
System, which is used as a basis for establishing and 
evaluating the value of employees positions and salaries 
in a market-driven and performance-oriented way. In 
2016, these salary bands have been made public to our 
global employee base, and the  adidas Stock Purchase 
Plan was introduced. We are working on refining the 
remuneration system going forward to have an increased 
focus on employee development, which we plan to launch 
in 2018. Please see our website for details.
",58
"Encouraging and support-
ing employee volunteering 
 creating agents of change 
in the communities we 
work, live, and operate in.
",58
"2020
In 2016, 736 employees invested a total of 33,000 volunteer 
hours. In cooperation with our Global Consumer Insights 
and an independent market research institute, we conducted 
research to measure the impact of our volunteering 
programmes holistically in 2016. We initiated qualitative 
and quantitative research using feedback from more than 
2,000 beneficiaries and more than 600 parents in seven 
of our partner organisations in eight countries worldwide. 
Overall results are very positive, proving for example that 
beneficiaries gain self-confidence, leadership skills, and 
improvements in their health through participation. More 
than 80% of the participants also shared information about 
the programme in public, e.g. presented the programme 
at a public event, have been asked about it, or convinced 
friends to participate. 
Since 2011, we were able to impact a total of over two 
million children and young peoples lives, and reached over 
10 million people through 30 partner organisations on five 
continents. By 2020 we aim to create an even higher impact 
for our volunteers and the participants of the programmes. 
",58
"Please see our website for details and more information 
about our partner organisations.
",58
"Engaging with creators and 
influencers and driving 
innovative collaborations. 
",59
"2020
Being committed to raising awareness and empowering 
the creative community in support of eco-innovation, 
adidas Originals, together with Parley for the Oceans, will 
collaborate on projects and continue to create a space 
for creators and thinkers to spark conversations around 
the need to protect the oceans. In 2016, on the occasion 
of Miami Art Basel, both brands generated awareness 
amongst this particular group on the topic of eco-
innovation and began a dialogue to educate and inspire, 
hosting a dinner that brought this group together to learn 
more about the state of the Oceans and discuss original 
ways to protect them. Based on both brands history of 
working with the creative community, this dinner in Miami 
served as a launch pad in creating lasting connections in 
support of a sustainable lifestyle.
",59
"Inspiring consumers, key 
partners, brand assets 
and others to join us on our 
journey. 
",59
"2020
For the release of a limited edition (50 pairs) of the Parley 
prototype shoe on World Oceans Day in June 2016, we 
invited people to enter an Instagram contest to win one of 
the pairs available. By pledging to stop using single-use 
plastic items they were given the chance to win a pair of 
the shoes. 
 see page 57 for details
",59
"Teaming up with our ath-
letes who will act as role 
models for young creators, 
sharing experiences, and 
showing that sport is about 
passion, determination, 
teamwork, helping others, 
and being active.
",59
"2020
For the release of the first commercial football products 
using Parley Ocean Plastic we engaged with two of our 
partner clubs, Bayern Munich and Real Madrid. Players 
wore home jerseys made from Parley Ocean Plastic with 
water-based environmentally friendly prints on-pitch in 
November 2016. We further partnered with Projeto Grael, 
a local NGO run by the sailing brothers Lars and Torben 
Grael, to run a Parley Ocean School initiative in Rio de 
Janeiro. Circulating between June and September 2016 
in Niteroi and Rio de Janeiro, the Parley Ocean School 
provided workshops to more than 3,500 kids in over 30 
different public schools. Children aged six to eleven 
learned about the fragility of our oceans, plastic pollution 
and how to take action against it. 
 see page 57 for details
",59
"At the end of 2016, we worked with 1,038 independent factories 
(excluding own factories and factories of our licensees) which 
manufacture  adidas products in 63 countries. 64% of the 
factories are located in the Asia Pacific region, 26% in the 
Americas, and 10% in Europe, Middle East, and Africa (EMEA).
",61
